id,company,logo,description,site,address,size,phone,email
1,Công ty Cổ phần Hệ thống Công nghệ ETC,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/hgTiOn9OZKDjJfARGkwrqczYVDkWC2it_1673406018____c31b182fa12ed20bae653cad41e00185.jpg,"Công ty Cổ phần Hệ thống Công nghệ ETC gọi tắt là công ty ETC, là một trong những doanh nghiệp hàng đầu trong lĩnh vực Công nghệ thông tin, đi tiên phong trong việc cung cấp các giải pháp CNTT tiên tiến và hiện đại Lĩnh vực hoạt động của ETC bao gồm Cung cấp giải pháp cho tích hợp hệ thống CNTT phát triển phần mềm cung cấp dịch vụ và cung cấp thiết bị liên quan đến CNTT đào tạo truyền thông và chuyển giao công nghệ, dịch vụ bảo trì trong CNTT,, Được đánh giá là một trong những công ty hàng đầu trong lĩnh vực tích hợp giải pháp CNTT quy mô lớn, có sự phát triển năng động và bền vững với nhiều tiềm lực hội nhập quốc tế để vươn lên tầm khu vực và thế giới, ETC đã và đang cùng với đối tác triển khai nhiều dự án quan trọng của các ngân hàng lớn như VietinBank, Vietcombank, BIDV, VIB, Techcombank, PGBank, và các cơ quan chính phủ, ETC là đối tác tin cậy của nhiều tập đoàn CNTT hàng đầu thế giới như HP, IBM, SAP, Oracle, CISCO, EMC, Tibco, Sony, Milestone, NXP, VeriFone, Spectra, TechMahindra, AurionPro",https://www.topcv.vn/cong-ty/cong-ty-co-phan-he-thong-cong-nghe-etc/70478.html,"Tòa 319 Bộ Quốc Phòng, Số 63 Lê Văn Lương, Trung Hòa, Cầu Giấy, Hà Nội",100-499,098 2254198,congngheetc@gmail.com
2,Công ty cổ phần công nghệ - viễn thông Elcom,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-vien-thong-elcom-62cf8fc59259b.jpg,"Được thành lập từ năm 1995, trải qua hơn 14 thế kỷ hình thành và phát triển, ELCOM đã từng bước vươn lên trở thành một trong những doanh nghiệp dẫn đầu về các giải pháp công nghệ thông tin và cung cấp sản phẩm, dịch vụ viễn thông ELCOM hiện là đối tác lâu đời, uy tín của các tập đoàn công nghệ thông tin  viễn thông lớn trong và ngoài nước, Sở hữu đội ngũ nhân sự giàu năng lực và tinh thần thiện chiến, ELCOM tiên phong cung cấp các giải pháp công nghệ có độ khó cao, ứng dụng hiệu quả cho các ngành kinh tế trọng điểm, bao gồm Viễn thông, Công nghệ thông tin, An ninh Quốc phòng, Giao thông vận tải, Giáo dục và Y tế ELCOM cũng liên tục đổi mới, nghiên cứu và mở rộng các dòng sản phẩm, nhằm định hướng, dẫn dắt nhu cầu của xã hội trong tương lai, để kiến tạo một cuộc sống tốt đẹp hơn dựa trên nền tảng công nghệ, Bằng trí tuệ và sức sáng tạo không ngừng nghỉ, ELCOM tự hào đưa sản phẩm, dịch vụ Made by ELCOM ghi dấu tại hơn 20 quốc gia trên toàn thế giới Dấu chân người ELCOM tại những lãnh thổ bên ngoài Việt Nam là minh chứng rõ nét cho sức mạnh niềm tin của ELCOM trên hành trình làm sản phẩm công nghệ Make in Vietnam, không chỉ phục vụ người Việt mà còn vươn mình, khẳng định thương hiệu quốc gia với cộng đồng quốc tế",https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-vien-thong-elcom/102274.html,"Elcom Building, số 10, ngõ 15 Duy Tân, Cầu Giấy, Hà Nội",100-499,098 8366399,vienthongelcom@gmail.com
3,Humax Vietnam,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/humax-vietnam-6114dba54d1a9.jpg,"HUMAX is to enable users to access diverse contents any time, anywhere they want, Humax is one of the worlds largest manufacturers of digital settop boxes, home gateway, exporting its products to over 90 countries across the globe Over the last 5 years we have built a solid reputation as a leading supplier of high quality, featurerich digital TV products including digital TV recor ders DTRs and high definition HD settop boxes The company headquarters and RD facility are based in Korea, with offices in Dubai, Germany, India, Italy, Japan, Thailand, Australia, Hong Kong, Sweden, Spain, the UK, US and Hanoi Vietnam, To provide new and enjoyable experience through incredible contents The future life with dreamy total home solution which enables all people in the world to easily  promptly enjoy contents they want anytime and anywherethis dream comes true with the distinguished technology and innovative products of HUMAX This is why HUMAX exists",https://www.topcv.vn/cong-ty/humax-vietnam/23356.html,"Handico Tower, Pham Hung street, Nam Tu Liem, Ha Noi",100-499,098 1775646,humaxvietnam@gmail.com
4,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/ngan-hang-tmcp-hang-hai-5ca1e09fb0cf2.jpg,"Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam MSB được thành lập ngày 12 tháng 7 năm 1991 tại thành phố cảng Hải Phòng Năm 2005, Ngân hàng chính thức chuyển Hội sở lên Hà Nội, mở đầu một giai đoạn phát triển mới với phạm vi hoạt động được mở rộng đáng kể, Sau 27 năm không ngừng phát triển, MSB hiện đã vươn tới vị trí là một trong 5 ngân hàng thương mại cổ phần lớn nhất tại Việt Nam, sau khi chính thức nhận sáp nhập Ngân hàng TMCP Phát triển Mê Kông ngày 12  8  2015, với giá trị tổng tài sản 123000 tỷ đồng, vốn điều lệ 11750 tỷ đồng, mạng lưới gần 300 chi nhánh, phòng giao dịch và gần 500 máy ATM trên toàn quốc, nhận được sự tin tưởng sử dụng của trên 1,8 triệu khách hàng cá nhân, gần 40000 khách hàng doanh nghiệp, MSB hướng tới việc xây dựng một ngân hàng giao dịch thuận tiện  tin cậy  thân thiện, được khách hàng ưu tiên lựa chọn bởi những lợi ích vượt trội từ việc cung cấp các sản phẩm dịch vụ tài chính đa dạng được thiết kế phù hợp, đáp ứng nhu cầu của từng phân khúc, từ khách hàng cá nhân khu vực thành thị tới nông thôn, từ khách hàng doanh nghiệp nhỏ, vừa tới khách hàng doanh nghiệp lớn và các định chế tài chính, Chào đón 2021, MSB đã chuẩn bị một bữa tiệc thịnh soạn Career Party với nhiều ưu đãi hấp dẫn BẢO LƯU THƯỞNG TẾT  THU NHẬP TĂNG TỚI 30",https://www.topcv.vn/cong-ty/ngan-hang-tmcp-hang-hai-viet-nam-msb/145.html,"Số 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành Phố Hà Nội, Việt Nam",1000+,098 7022372,vietnammsb@gmail.com
5,Crossian,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/crossian-viet-nam-5fa2778c7a288.jpg,"Crossian is a fastgrowing tech company in global ecommerce and aspire to become a leader in crossborder DTC eCommerce services and solutions Through our inhouse built and emerging platform, we are continuously adding value to our customer groups, Why choose Crossian,  Competitive salary 100 salary during probation,  Bonus,  13thmonth salary paid in December,  Performance bonus,  Premium health insurance for employees,  Lunch Drink Snack allowance 70month,  Annual company trip budget upto 1200, team building 120year, engagement events activities,  Clear career roadmap, chance to be promoted and rotated,  Highend working environment central location, modern equipment, lunch drink snack,  20 days of work from home and 12 annual leaves per year,  Premium healthcare insurance,  Annual health checkup,  Fair, transparent and open working environment culture",https://www.topcv.vn/cong-ty/crossian/44849.html,"Tầng 5, Pax Sky, 63-65 Ngô Thì Nhậm, Hai Bà Trưng, Hà Nội",25-99,098 9815779,crossian@gmail.com
6,CÔNG TY CP KINH DOANH THƯƠNG MẠI DỊCH VỤ WIN,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-cp-kinh-doanh-thuong-mai-dich-vu-win-60506aeac8b14.jpg,"Công ty cổ phần kinh doanh thương mại dịch vụ WIN wwinvn  là công ty đi đầu về lĩnh vực tem chống hàng giả, tem truy xuất nguồn gốc, tem hologram,  Mang cho mình sứ mệnh bảo vệ người tiêu dùng thoát khỏi cảnh phải lo lắng về hàng giả, hàng nhái, xuất xứ không rõ ràng Giúp doanh nghiệp Việt không bị xâm hại quyền bảo sở hữu trí tuệ một cách an toàn nhất",https://www.topcv.vn/cong-ty/cong-ty-cp-kinh-doanh-thuong-mai-dich-vu-win/57321.html,"Tầng 1, Tòa Nhà Viethome Land, Số 14-16 Bình Giã, Phường 13, Quận Tân Bình, Tp. Hồ Chí Minh",10-24,098 8407420,dichvuwin@gmail.com
7,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ TTC VIỆT NAM,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/Nr87zzn4IGvCxGhoxwMmZ5ykTbI8O0OX_1686103129____15108187bff602f55f5be7cc02a62619.png,Công ty WIN mong muốn và khao khát mang đến giải pháp chống hàng giả một cách trọn vẹn và toàn diện nhất Giúp các doanh nghiệp tôn tôn vinh cho quyền bảo vệ thương hiệu của chính mình,https://www.topcv.vn/cong-ty/cong-ty-co-phan-thuong-mai-va-dich-vu-ttc-viet-nam/144479.html,"Tổ 3, phường giang Biên, quận Long Biên, TP Hà Nội",10-24,098 1865375,ttcvietnam@gmail.com
8,Ngân Hàng TNHH MTV Shinhan Việt Nam,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/ngan-hang-tnhh-mtv-shinhan-viet-nam-5bf7ac614caf6_rs.jpg,"Tập đoàn Tài chính Shinhan được xem như tập đoàn tiên phong về việc nắm giữ tài chính tại Hàn Quốc Tập đoàn được thành lập trên nền tảng của Ngân hàng Shinhan, Quỹ Đầu tư Shinhan và Công ty Quản lý Đầu tư Shinhan, , Chiến lược kinh doanh của Tập đoàn Tài chính Shinhan là cung cấp cho khách hàng dịch vụ đa dạng, tiện lợi và thỏa đáng thông qua sự phân bố chuyên biệt và hiệu quả Bên cạnh đó, tập đoàn luôn nỗ lực đa dạng hóa phạm vi kinh doanh, cũng như cập nhật những công nghệ tài chính mới nhất để trở thành tập đoàn tài chính dẫn đầu trên quy mô toàn cầu",https://www.topcv.vn/cong-ty/ngan-hang-tnhh-mtv-shinhan-viet-nam/15889.html,"Tầng trệt, tầng lửng, tầng 2,3,15 Tòa nhà Empress, số 138-14, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh",1000+,098 4530965,shinhanvietnam@gmail.com
9,Công ty TNHH Mageplaza,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/zDDQBpvzLkW8ePECZd80V4QkZEU2QqJw_1663312925____74fc71d6fb69fe628bea48e365965b7c.jpg,"Công Ty TNHH MagePlaza, Mageplaza tự hào là một trong những công ty trẻ có tốc độ phát triển mạnh mẽ nhất trong lĩnh vực sản xuất và xuất khẩu phần mềm, cung cấp giải pháp Thương mại điên tử hoàn hảo cho các doanh nghiệp trên toàn thế giới Mageplaza luôn nỗ lực để tạo ra những sản phẩm tốt nhất với những tính năng ưu việt, nổi trội, đáp ứng được yêu cầu ngày càng cao của khách hàng, Trải qua 9 năm hình thành và phát triển thành lập tháng 8 năm 2014, Mageplaza đã đạt được những cột mốc đáng kinh ngạc như,  Đứng thứ 2 thế giới ở mảng Magento xét theo traffic truy cập site,  Danh hiệu Magento Select Extension Builder, Với sự lớn mạnh không ngừng, chúng tôi luôn ý thức được vai trò quan trọng của nguồn nhân lực trong sự phát triển của công ty Chúng tôi hiểu được giá trị cốt lõi của công ty nằm ở chính đội ngũ nhân viên và luôn nỗ lực để tạo ra một môi trường làm việc chuyên nghiệp, thân thiện và trẻ trung Mageplaza luôn tạo mọi điều kiện có thể để giúp các bạn thỏa sức sáng tạo, trao đổi và học hỏi lẫn nhau, Avada là một trong những dự án chiến lược được CEO nghiên cứu và phát triển, tách ra thành Công ty TNHH Avada Group Thành lập tháng 6 năm 2019 với sứ mệnh giúp 1 triệu cửa hàng thương mại điện tử trên toàn thế giới thành công, Avada luôn tận tâm trong dịch vụ hỗ trợ KH hỗ trợ KH ở bất kỳ đâu, bất kỳ lúc nào Avada cam kết chất lượng sản phẩm với tất cả các ứng dụng, sản phẩm của mình hoạt động tốt đến 99,99 Trang web chính thức của Avada được đưa vào hoạt động  cung cấp nhiều bài viết chất lượng về giải pháp kỹ thuật cũng như marketing Sản phẩm đầu tiên là app PDF Invoice cho Shopify stores nhận được nhiều ủng hộ từ khách hàng, Địa điểm 102 Trần Phú, Văn Quán, Thanh Xuân, Hà Nội, Mageplaza và Avada, 1 Sứ mệnh,  Cung cấp giải pháp tốt nhất và kịp thời nhất giúp cho online business trên toàn cầu kinh doanh dễ dàng hơn, 2 Tầm nhìn, Năm 2025,  Giúp 500k online business trên toàn cầu kinh doanh hiệu quả,,  Cộng đồng Mageplaza có cuộc sống viên mãn, hạnh phúc, Năm 2030,  Giúp 1M online business trên toàn cầu kinh doanh hiệu quả,,  Cộng đồng Mageplaza có cuộc sống viên mãn, hạnh phúc, 3 Giá trị cốt lõi trường tồn Tận tâm, Trách nhiệm, Trung thực, Teamwork, Tiến bộ, Tri ân 6T",https://www.topcv.vn/cong-ty/cong-ty-tnhh-mageplaza/7399.html,"Tầng 11 Toà nhà C Hồ Gươm Plaza, 102 Trần Phú, Hà Đông, Hà Nội",100-499,098 5928863,tytnhhmageplaza@gmail.com
10,Công ty Cổ phần Đầu tư Phát triển Công nghệ và Truyền thông,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-phat-trien-cong-nghe-va-truyen-thong-57bd0c3b5639a_rs.jpg,"Công ty Cổ phần Đầu tư Phát triển Công nghệ và Truyền thông NEO là công ty cổ phần phát triển phần mềm do Tập đoàn Bưu chính Viễn thông Việt Nam VNPT và các công ty tin học  viễn thông có uy tín trong nước sáng lập Nhiệm vụ chiến lược của Công ty là phát triển phần mềm, tích hợp hệ thống và cung cấp các dịch vụ giá trị gia tăng cho thị trường các doanh nghiệp viễn thông, các doanh nghiệp vừa và nhỏ trong nước và trong khu vực",https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-phat-trien-cong-nghe-va-truyen-thong/671.html,"Tầng 2, CT2 Tràng An Complex, số 1 Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy, Hà nội",100-499,098 7243771,vatruyenthong@gmail.com
