id,job_id,category_id
1,1,1
2,1,2
3,1,3
4,1,4
5,2,1
6,2,5
7,2,3
8,2,4
9,3,1
10,3,4
11,4,1
12,4,5
13,4,3
14,4,4
15,5,1
16,5,3
17,5,4
18,6,1
19,6,6
20,6,3
21,6,4
22,7,1
23,7,7
24,7,3
25,7,4
26,8,1
27,8,8
28,8,3
29,8,4
30,9,1
31,9,7
32,9,3
33,9,4
34,10,1
35,10,5
36,10,3
37,10,4
38,11,1
39,11,3
40,11,4
41,12,1
42,12,4
43,13,1
44,13,9
45,13,3
46,13,4
47,14,1
48,14,2
49,14,3
50,14,4
51,15,1
52,15,3
53,15,4
54,16,1
55,16,2
56,16,3
57,16,4
58,17,5
59,17,7
60,17,1
61,17,4
62,18,1
63,18,10
64,18,5
65,18,4
66,19,1
67,19,10
68,19,5
69,19,4
70,20,1
71,20,3
72,20,11
73,20,4
74,21,1
75,21,5
76,21,3
77,21,4
78,22,1
79,22,5
80,22,3
81,22,4
82,23,1
83,23,12
84,23,3
85,23,4
86,24,1
87,24,13
88,24,3
89,24,4
90,25,1
91,25,14
92,25,3
93,25,4
94,26,1
95,26,3
96,26,4
97,27,1
98,27,3
99,27,4
100,28,1
101,28,2
102,28,3
103,28,4
104,29,1
105,29,3
106,29,4
107,30,5
108,30,7
109,30,3
110,30,4
111,31,1
112,31,8
113,31,3
114,31,4
115,32,1
116,32,15
117,32,3
118,32,4
119,33,1
120,33,8
121,33,4
122,34,1
123,34,3
124,34,4
125,35,1
126,35,7
127,35,3
128,35,4
129,36,1
130,36,5
131,36,3
132,36,4
133,37,1
134,37,2
135,37,3
136,37,4
137,38,1
138,38,3
139,38,4
140,39,1
141,39,16
142,39,3
143,39,4
144,40,1
145,40,17
146,40,18
147,40,4
148,41,1
149,41,2
150,41,3
151,41,4
152,42,1
153,42,5
154,42,3
155,42,4
156,43,1
157,43,5
158,43,4
159,44,1
160,44,19
161,44,3
162,44,4
163,45,1
164,45,4
165,46,1
166,46,3
