id,job_id,skill_name
1,1,HTML
2,1,Java
3,1,MVC
4,1,SQL
5,1,Oracle
6,1,Spring
7,1,RESTful API
8,1, MongoDB
9,1,Framework
10,1,CSS
11,1, Javascript
12,1,VueJS
13,1,ReactJS
14,2,Python
15,2,Leadership
16,2,test cases
17,2,test plan
18,2,Automation Test
19,2,English
20,2,Communication
21,3,C++
22,3,Linux
23,4,HTML
24,4,Java
25,4,MVC
26,4,SQL
27,4,Oracle
28,4,Spring
29,4,RESTful API
30,4, MongoDB
31,4,Framework
32,4,CSS
33,4, Javascript
34,4,VueJS
35,4,ReactJS
36,5,SQL
37,5,NOSQL
38,6,Illustrator
39,6,Photoshop
40,6,UX/UI Design
41,7,Tư duy hệ thống
42,7,Làm việc độc lập
43,7,Làm việc nhóm
44,7,Kỹ năng lắng nghe
45,7,Xử lý tình huống
46,7,Tech Support
47,7,Tin học văn phòng
48,7,Kỹ năng giao tiếp
49,8,Python
50,9,Agile
51,10,HTML
52,10,Java
53,10,MVC
54,10,SQL
55,10,Oracle
56,10,Spring
57,10,RESTful API
58,10, MongoDB
59,10,Framework
60,10,CSS
61,10, Javascript
62,10,VueJS
63,10,ReactJS
64,11,CSS
65,11,HTML
66,11,Javascript
67,11,JQuery
68,11,REST API
69,11,TypeScript
70,12,Git
71,12,MySQL
72,12,NodeJS
73,12,REST API
74,12,Database
75,12,AWS
76,12,CI/CD
77,13,HTML
78,13,Java
79,13,MVC
80,13,SQL
81,13,Oracle
82,13,Spring
83,13,RESTful API
84,13, MongoDB
85,13,Framework
86,13,CSS
87,13, Javascript
88,13,VueJS
89,13,ReactJS
90,14,Java
91,14,Linux
92,14,REST API
93,14,MCSA
94,14,VMWare
95,15,iOS
96,15,React Native
97,16,C++
98,17,Tư duy hệ thống
99,17,Làm việc độc lập
100,17,Làm việc nhóm
101,17,Kỹ năng lắng nghe
102,17,Xử lý tình huống
103,17,Tech Support
104,17,Tin học văn phòng
105,17,Kỹ năng giao tiếp
106,18,C#
107,18,CSS
108,18,Javascript
109,18,PHP
110,18,ReactJS
111,18,Kỹ năng sư phạm
112,19,3D Artist
113,19,Game
114,19,Game Artist
115,19,Unity
116,20,.NET
117,21,Flutter
118,22,Tin học văn phòng
119,22,Quản lý thời gian
120,23,MySQL
121,23,SQL Server
122,23,Oracle Database
123,24,Kỹ năng giao tiếp
124,24,Kỹ năng đàm phán
125,24,Kỹ năng quản lý
126,25,Python
127,25,Leadership
128,25,test cases
129,25,test plan
130,25,Automation Test
131,25,English
132,25,Communication
133,26,Git
134,26,Javascript
135,26,Laravel
136,26,MySQL
137,26,PHP
138,26,AWS
139,26,Jira
140,26,API
141,27,.NET
142,27,C#
143,27,Java
144,27,Javascript
145,27,Tiếng Nhật N4
146,28,HTML
147,28,Java
148,28,MVC
149,28,SQL
150,28,Oracle
151,28,Spring
152,28,RESTful API
153,28, MongoDB
154,28,Framework
155,28,CSS
156,28, Javascript
157,28,VueJS
158,28,ReactJS
159,29,.NET
160,30,Kỹ năng giao tiếp
161,31,SQL
162,31,NOSQL
163,31,Viết document
164,31,Kỹ năng giao tiếp
165,32,.NET
166,32,Java
167,33,Android
168,33,iOS
169,34,Kỹ năng giao tiếp
170,35,AngularJS
171,35,CSS
172,35,Javascript
173,35,ReactJS
174,36,Tiếng Anh thành thạo
175,37,PHP
176,38,.NET
177,39,SQL
178,39,NOSQL
179,40,Kỹ năng giao tiếp
180,41,test cases
181,41,test plan
182,41,Tiếng Anh giao tiếp
183,41,Manual Testing
184,42,Flutter
185,43,.NET
186,43,C#
187,43,Javascript
188,43,.NET Framework
189,44,Laravel
190,44,Linux
191,44,VueJS
192,44,API
193,45,Kỹ năng giao tiếp
194,46,HTML
195,46,Java
196,46,MVC
197,46,SQL
198,46,Oracle
199,46,Spring
200,46,RESTful API
201,46, MongoDB
202,46,Framework
203,46,CSS
204,46, Javascript
205,46,VueJS
206,46,ReactJS
207,47,MySQL
208,47,Oracle
209,48,Ruby on Rails
210,48,Ruby
211,49,Tester
212,49,Manual Testing
213,50,Tư duy hệ thống
214,50,Làm việc độc lập
215,50,Làm việc nhóm
216,50,Kỹ năng lắng nghe
217,50,Xử lý tình huống
218,50,Tech Support
219,50,Tin học văn phòng
220,50,Kỹ năng giao tiếp
221,51,.NET
222,51,C#
223,52,HTML
224,52,Java
225,52,MVC
226,52,SQL
227,52,Oracle
228,52,Spring
229,52,RESTful API
230,52, MongoDB
231,52,Framework
232,52,CSS
233,52, Javascript
234,52,VueJS
235,52,ReactJS
236,53,Javascript
237,53,React Native
238,53,ReactJS
239,53,PHP
240,54,Tester
241,54,Manual Testing
242,55,Javascript
243,55,React Native
244,55,ReactJS
245,55,PHP
246,56,Tester
247,56,QC/QA
248,56,QA
249,57,CSS
250,57,HTML5
251,57,Javascript
252,57,UX/UI Design
253,58,Agile
254,58,Leadership
255,58,Teamwork
256,58,Redux
257,58,React Native
258,58,ReactJS
259,59,CSS
260,59,HTML5
261,59,Javascript
262,59,UX/UI Design
263,60,Tester
264,60,QC/QA
265,60,QA
266,61,Tiếng Nhật
267,62,.NET
268,62,ASP.NET
269,62,C#
270,62,REST API
271,63,.NET
272,63,C#
273,63,Java
274,64,SQL
275,64,QC/QA
276,64,Automation Test
277,64,English
278,64,Manual Testing
279,65,MySQL
280,65,SQL
281,65,SQL Server
282,65,Database
283,65,English
284,66,Agile
285,66,PMP
286,67,Laravel
287,67,PHP
288,68,CSS
289,68,Javascript
290,68,NodeJS
291,68,PHP
292,68,PostgreSQL
293,68,Ruby on Rails
294,68,Ruby
295,68,RESTful API
296,68,Back-End Web Development
297,68,UI/UX
298,69,HTML
299,69,Java
300,69,MVC
301,69,SQL
302,69,Oracle
303,69,Spring
304,69,RESTful API
305,69, MongoDB
306,69,Framework
307,69,CSS
308,69, Javascript
309,69,VueJS
310,69,ReactJS
311,70,Tư duy hệ thống
312,70,Làm việc độc lập
313,70,Làm việc nhóm
314,70,Kỹ năng lắng nghe
315,70,Xử lý tình huống
316,70,Tech Support
317,70,Tin học văn phòng
318,70,Kỹ năng giao tiếp
319,71,Tư duy hệ thống
320,71,Xử lý tình huống
321,71,kỹ năng đào tạo
322,71,Tech Support
323,72,3D Artist
324,72,Game
325,72,Game Artist
326,72,Tiếng Anh giao tiếp
327,72,Cocos2D
328,72,Unity
329,72,Unity 3D]
330,73,NodeJS
331,74,Chăm chỉ
332,74,cẩn thận
333,74,có tinh thần trách nhiệm cao với công việc
334,75,CSS
335,75,Git
336,75,HTML
337,75,Javascript
338,75,Redux
339,75,React Native
340,75,ReactJS
341,75,API
342,76,Manager
343,76,Performance Marketing
344,76,Marketing Online
345,77,Business Development
346,77,Back-End Web Development
347,77,Front-end
348,78,Teamwork
349,78,Kỹ năng giao tiếp
350,78,Làm việc nhóm
351,78,Quản lý thời gian
352,78,Tin học văn phòng
353,78,Tiếng Anh trung cấp
354,78,Chịu áp lực cao
355,78,Nhanh nhẹn
356,78,Cẩn thận
357,79,Chăm chỉ
358,79,cẩn thận
359,79,có tinh thần trách nhiệm cao với công việc
360,80,Android
361,80,iOS
362,80,Flutter
363,81,CSS
364,81,HTML
365,81,Javascript
366,81,JQuery
367,81,PostgreSQL
368,82,HTML
369,82,Java
370,82,MVC
371,82,SQL
372,82,Oracle
373,82,Spring
374,82,RESTful API
375,82, MongoDB
376,82,Framework
377,82,CSS
378,82, Javascript
379,82,VueJS
380,82,ReactJS
381,83,Teamwork
382,83,Kỹ năng giao tiếp
383,83,Làm việc nhóm
384,83,Quản lý thời gian
385,83,Tin học văn phòng
386,83,Tiếng Anh trung cấp
387,83,Chịu áp lực cao
388,83,Nhanh nhẹn
389,83,Cẩn thận
390,84,Tư duy hệ thống
391,84,Xử lý tình huống
392,84,kỹ năng đào tạo
393,84,Tech Support
394,85,Teamwork
