id,user_id,coordinate
1,1,"3,11;3,23;1,3;4,10;7,10;5,17;3,5"
2,2,"7,12;6,4;2,22;3,16;1,8;2,11;6,2;2,9;6,18;7,13;3,14;5,21"
3,3,"7,20;4,12;3,2;1,5;1,10;7,2;2,22;2,10;4,6;7,16;3,17;7,23"
4,4,"1,20;6,6;1,14;2,10;3,21;6,4;4,2"
5,5,"7,1;3,1;4,12;1,12;4,21;6,22;2,6;6,12;4,0;5,22;7,1;7,15"
6,6,
7,7,"3,22;6,8;3,10;3,3;2,8;5,4;2,21;1,23;3,22;5,10;2,4;1,19"
8,8,"2,11;1,1;4,13;6,21;4,0;7,1;5,19"
9,9,
10,10,
11,11,"3,8;1,3;2,6;7,12;2,7;2,17;5,17;7,14;7,14;2,16;5,14;5,16"
12,12,"4,12;3,16;6,21;1,13;6,23;1,4;1,13;4,1;2,7;7,21;7,16;6,22"
13,13,"2,3;7,0;6,23;5,10;6,21;5,13;1,0;3,15;6,3;4,9"
14,14,"2,3;1,19;2,15;7,5;2,12;5,2;7,20;6,1;6,10;5,7;2,4;4,10"
15,15,"5,2;3,11;2,14;6,5;5,7;2,12"
16,16,
17,17,"4,8;3,9;6,12;7,15;6,19;3,9;5,10;7,1;6,6;5,8;2,18;7,2"
18,18,"6,13;3,0;4,6;4,15;6,22;3,16;5,2;3,5;2,9;2,11;7,2;7,3"
19,19,"7,4;5,22;6,17;3,10;5,3;5,0;6,17;1,9;4,1;2,2;3,21;6,17"
20,20,
21,21,"5,16;7,22;6,14;5,4;4,12;5,9;4,10;2,3;1,3;3,3;7,3;5,21"
22,22,"6,3;1,20;3,11;1,14;2,5;6,6;1,1;5,17;3,14;4,10;2,2;5,1"
23,23,"7,12;6,18;5,9;4,10;4,23;3,18"
24,24,"1,6;1,0;4,8;2,9;1,5;4,22;3,19;5,10;5,17;3,18;6,7;1,2"
25,25,
26,26,"2,8;3,0;5,2;2,9;4,11;5,18;7,4;5,6;6,17;4,12;4,6;3,9"
27,27,"2,16;1,5"
28,28,"2,20;6,5;7,3;4,20;3,0;3,7;5,1;1,5;4,8;6,7;7,17;5,5"
29,29,
30,30,"6,16;5,8;7,20;2,9;3,2;2,12;1,23;1,11;1,2;4,13;2,13;3,12"
31,31,"6,17;5,12;4,0;5,21;6,20;7,12;5,7"
32,32,"7,11;3,17;5,12;3,8;1,19;3,12;1,20"
33,33,
34,34,"7,8;4,17;4,23;2,10;2,7;5,8;6,17;3,8;2,16;3,12;1,13;5,10"
35,35,"7,14;1,4;1,14;2,23;6,16;7,5;7,23;5,6;7,14;1,12;5,9;3,14"
36,36,"2,16;6,4;2,23;4,18;4,19;6,20;7,15;1,23;1,23;3,1;3,14;5,11"
37,37,
38,38,"7,23;4,1;2,12;7,1;3,11;7,13;4,15;3,1;7,16;1,6;5,5;7,21"
39,39,"6,6;6,16;1,12;6,12;4,20;7,22;3,1;2,10;4,13;5,13;4,22;4,14"
40,40,"3,16;5,14;7,17;2,5;3,22;5,23;2,22;3,4;6,15;1,5;3,19;2,20"
41,41,"6,9;1,17;5,5;5,17;5,19;2,1;7,21;4,5;1,10;6,0;7,13;6,7"
42,42,
43,43,"4,11;4,7;6,19;2,14;1,23;5,17;4,4;4,11;3,15;4,4;2,8;6,6"
44,44,"2,21;4,13;4,7;2,15;2,6;2,20;3,4"
45,45,"7,8;7,19;1,23;3,14;2,11;4,17;1,14;7,17;3,21;1,1;6,14;1,15"
46,46,
47,47,"3,8;5,12;7,17;7,19;1,0;2,4;5,2;4,4;2,0;2,0;3,20;4,15"
48,48,"3,12;7,19;6,23;2,10;6,7;3,3;4,1;1,13;3,9;5,2;5,4;4,13"
49,49,"3,21;2,15;1,6;2,5;3,19;5,5;1,2;5,13;5,13;1,20;2,4;2,20"
50,50,
